a,一個
booster,助推器
adv,高級廣告
taxable,應課稅
progression,級數
sheraton,喜來登
debates,辯論
embrace,擁抱
utilized,利用
dentistry,牙科
renal,腎
malaria,瘧疾
linksys,林克西斯
nero,尼祿
guideline,指引
capita,人均
odyssey,奧德賽
tendency,趨勢
spite,儘管
wholly,全部
nyse,紐交所
imply,暗示
freezer,冰箱
bnet,網路
torrent,。.torrent
inaccuracies,錯誤
binoculars,望遠鏡
ein,恩
loyal,忠誠
saddle,鞍
liner,班輪
chill,寒意
ufo,不明飛行物
fedora,費多拉
imc,思潮
caledonia,喀里多尼亞
pcr,聚合酶鏈反應
ua,UA
vivid,生動
hunters,獵人
purely,完全
enroll,註冊
allegations,指控
auxiliary,輔助
initiate,啟動
demographics,人口
corresponds,對應
manila,馬尼拉
stationary,固定
kc,KC
alarms,警報
celebrated,慶祝
crashes,崩潰
kt,千噸
steroids,類固醇
elevated,升高
outlines,概述
buddies,朋友
stairs,樓梯
allison,佳佳
whitney,惠特尼
fry,炒
daemon,守護進程
roi,投資回報率
foil,箔
lifts,升降機
pogo,彈簧球
comprising,包括
critique,批判
ladyboy,Ladyboy
terrier,梗
honestly,真誠地
continuation,延續
acted,已演
servant,僕人
renewed,更新
variant,變體
digg,迪格
explanations,解釋
hotline,熱線
falcon,隼
accountants,會計師
coefficient,係數
avoided,避免
upstream,上游
listened,聽
canadians,加拿大
incorporating,結合
tick,蜱
jointly,共同
skull,頭蓋骨
carnegie,卡內基
konica,柯尼卡
byron,拜倫
hussein,侯賽因
amps,安培
transvestite,異裝癖
biochemistry,生物化學
tj,TJ
critic,評論家
sands,灘
scottsdale,斯科茨代爾
ninja,忍者
sediment,泥沙
vans,車
avalon,阿瓦隆
translators,翻譯
duplication,重複
bot,機器人
deg,度
glue,膠
riley,萊利
od,外徑
tw,台
lea,草地
voucher,憑證
honeymoon,蜜月
equatorial,赤道的
gw,吉瓦
squares,二乘
wheelchair,輪椅
margins,邊緣
percussion,擊發
spinning,紡紗
epidemiology,流行病學
survived,倖存
cone,球果
adequately,充分
pentagon,五角大樓
stressed,強調
contaminated,污染
prevalence,流行
fragment,片段
steak,牛排
spectral,光譜的
lecturer,講師
biomedical,生物醫學
finishes,完成
bucket,桶
cobra,眼鏡蛇
authorize,授權
dominica,多明尼加
gucci,古馳
zombie,殭屍
commits,提交
threw,扔
djibouti,吉布地
embroidered,繡
diabetic,糖尿病患者
subset,子集
sutton,薩頓
dvi,德維
cheney,切尼
websphere,網路領域
gameboy,遊戲男孩
libdevel,利布德維爾
cherokee,切羅基語
simulator,模擬器
hdd,硬碟
gals,加侖
recycled,再生
decorated,裝飾
performers,演員
dessert,甜點
recruit,招聘
exporters,出口商
nos,無
enthusiasm,熱情
blankets,毯子
confusing,混亂
wherein,其中
dissertation,論文
hoc,組
followup,隨訪
simmons,西蒙斯
apo,載脂蛋白
marry,嫁
credited,已記入
ninth,第九
walsh,沃爾什
ao,坳
mutant,突變體
bidders,投標
nih,美國國立衛生研究院
celebrations,慶祝活動
appearances,表現
ssh,安全資訊
weakness,弱點
katherine,凱薩琳
atoms,原子
authoring,創作
schmidt,施密特
spiral,螺旋
ivan,伊凡
bounce,彈跳
governors,州長
wills,遺囑
specializes,專業
jacobs,雅各
jakarta,雅加達
tissues,組織
practicing,練習
expressing,表達
mauritania,茅利塔尼亞
nicely,好
olds,老人
approaching,侵
irvine,歐文
reminded,提醒
ramp,坡道
drake,雄鴨
roosevelt,羅斯福
laurel,月桂
surprisingly,竟然
cynthia,辛西婭
della,黛拉
domination,統治
signaling,信號
cairo,開羅
molecule,分子
practically,幾乎
cried,哭
cheerleader,啦啦隊長
fried,煎
chords,和弦
tl,TL
lr,LR
cracks,裂縫
rails,導軌
traded,交易
scooter,速克達
malls,商場
ambulance,救護車
desires,慾望
woody,木本
impairment,損害
dismissed,解僱
dedication,奉獻
shrimp,蝦
jensen,詹森
psychic,靈媒
mcgraw,麥格勞
vivo,體內
carolyn,卡羅琳
wap,瓦普
edu,教育
analyzing,分析
lotion,化妝水
antilles,安的列斯群島
sincerely,真誠地
piercing,穿孔
ukrainian,烏克蘭文
substrate,酶作用物
homemade,自製
supra,同上
accelerated,加速
responsive,回應
rms,有效值
tucker,塔克
coded,編碼
freshwater,淡水
pinnacle,頂點
beaten,毆打
topical,局部的
prestige,威信
establishments,機構
recognizes,承認
mmc,毫米碳
efficacy,療效
isdn,ISDN
marginal,邊緣的
cocaine,可卡因
plugs,插頭
visions,願景
ashanti,阿散蒂
clue,線索
discrepancies,差異
dangers,危險
proximity,接近
pear,梨
chiefs,酋長
franz,弗朗茲
scandal,醜事
suriname,蘇里南
molly,莫莉
lys,賴氨酸
ku,庫
parkway,大路
femdom,調教
biking,自行車運動
scream,尖叫
bonuses,獎金
collision,碰撞
supplementary,補充的
scam,騙局
omitted,省略
travellers,旅客
palau,帕勞
belonging,歸屬感
ck,兜
duff,達夫
lodges,小屋
alcatel,阿爾卡特
unbiased,不偏不倚
gia,國際寶石學院
amplifiers,放大器
rolex,勞力士
repeats,重複
fairfax,費爾法克斯
ops,老年退休金計劃
slower,慢
beige,米色
offender,罪犯
portfolios,投資組合
auditing,審計
pirate,海盜
propaganda,宣傳
willie,威利
accountant,會計
microsystems,微系統
huh,哼
culinary,烹飪
simulated,類比
semantics,語義學
rival,對手
timeout,超時
senses,感官
coli,大腸桿菌
waterloo,滑鐵盧
beck,貝克
warwick,華威
aerosmith,航空史密斯
executable,可執行
resellers,轉銷商
scarface,疤面人
dependency,屬地
explores,探討
liberals,自由主義者
rounded,滾圓的
restart,重新啟動
genus,屬
prof,教授
cutter,刀具
tome,卷
daylight,日光
boarding,登機
mitigation,緩解
hmm,嗯
gases,氣體
fireworks,煙火
macdonald,麥當勞
eps,。.eps
connects,連接
catching,捕捉
approached,接近
ont,昂特
vanity,虛榮
homer,荷馬
dixon,狄克遜
aperture,孔徑
elastic,彈性的
dioxide,二氧化物
pentax,賓得
roofing,屋面
overstock,積壓
neglect,忽視
coupling,耦合
memberships,會員
myths,神話
cousin,表弟
hath,哈特
knees,膝蓋
debts,債務
burial,埋葬
balcony,陽臺
meridia,經絡
oncology,腫瘤學
renting,租
phillip,菲力浦
sins,罪
recalls,回憶
prescriptions,處方
torque,力矩
consultations,磋商
melody,旋律
prop,支柱
avril,艾薇
emerge,出現
hsn,高新網
nf,NF
cdc,疾病預防控制中心
ticketmaster,票務大師
camden,卡姆登
icann,ICANN
willis,威利斯
clutch,離合器
rigid,剛性
audioslave,音訊從屬
trent,特倫特
intuitive,直覺的
remodeling,重塑
haha,哈哈
poets,詩人
shy,害羞
maid,女僕
towels,毛巾
woven,編織
enom,枚舉
sta,斯塔
barber,理髮師
erin,愛琳
pedro,佩德羅
sid,希德
auditorium,禮堂
canterbury,坎特伯雷
ret,雷特
winchester,溫徹斯特
ferguson,弗格森
degradation,退化
carrie,嘉莉
redhat,雷德哈特
wikimedia,維琪媒體
bloglines,博客行
lipitor,立普妥
orthodox,正統
pigs,豬
stimulation,刺激
salsa,薩爾薩
holistic,整體
debugging,調試
blown,吹
umbrella,傘
engineered,工程
jerseys,球衣
olivia,奧利維亞
baton,指揮棒
rods,棒
rechargeable,充電
coordinating,協調
minorities,少數民族
diffusion,擴散
fragments,碎片
qualitative,定性的
cdn,加元
mariana,瑪麗安娜
wong,議員
claude,克勞德
barton,巴頓
soundtracks,配樂
dvr,硬碟錄影機
abbey,修道院
polynesia,波利尼西亞
childcare,育兒
encarta,恩卡塔
napster,納普斯特
superstore,超市
hex,十六進位
thames,泰晤士河
shores,海岸
marital,婚姻
stained,染色
discourse,話語
attracted,吸引
maya,瑪雅
headache,頭痛
bruno,布魯諾
notwithstanding,儘管
undertaking,事業
wg,工作組
slavery,奴隸制
micronesia,密克羅尼西亞
refugee,難民
fest,節
straps,帶
feasible,可行
flowing,流動
diets,飲食
credibility,可信度
socialist,社會主義者
romans,羅馬書
lancashire,蘭開夏
pw,俘虜
blogroll,博客卷
dreamweaver,織夢者
evite,伊維特
rejection,拒絕
whirlpool,漩渦
perfumes,香水
mechanic,技工
montenegro,黑山
sauna,桑拿
caicos,凱科斯
deed,契據
multiplayer,多人遊戲
bowls,碗
dissemination,傳播
shareholder,股東
sustain,維持
lengths,長度
deletion,刪除
ptr,PTR
macau,澳門
beacon,燈塔
politically,政治
bauer,鮑爾
defective,次品
cosmic,宇宙的
dawson,道森
cardinals,紅雀
tivo,蒂沃
kitts,基茨
qaeda,基地組織
crt,對照管
hoover,真空吸塵器
eliminating,消除
commencement,開始
elective,選修
conform,遵守
suspense,懸念
drafting,起草
freestyle,自由泳
ceramics,陶瓷
botanical,植物
smartphone,智能手機
organizers,召集人
hypertension,高血壓
helmets,頭盔
southwestern,西南
denise,鄧尼斯
cmd,CMD
advertised,廣告
touching,感人
vacancy,空缺
searchable,搜索
papa,爸爸
forensic,法庭的
observing,觀察
cruel,殘酷
quartet,四重奏
eager,渴望
firing,開火
aguilera,阿奎萊拉
settlements,定居點
mudvayne,穆德威恩
servicing,服務
ecards,電子賀卡
chang,場
clit,陰蒂
provisional,臨時
strive,努力
strawberry,草莓
feast,盛宴
gloria,格洛里亞
pupil,學生
elevator,電梯
profound,深刻
canton,州
redemption,贖回
nina,尼娜
counselling,輔導
bonnie,邦妮
warn,警告
acura,謳歌
registering,註冊
snowboarding,單板滑雪
releasing,釋放
martinique,馬丁尼克
cops,員警
compiling,編譯
fedex,聯邦快遞
conservatives,保守派
maggie,麥琪
seth,賽斯
laying,鋪設
laserjet,激光噴射
painter,畫家
vectors,向量
transitions,轉換
cooker,炊具
shells,殼
ankle,踝
peso,比索
historically,歷史
leagues,聯賽
bamboo,竹
internships,實習
borrow,借
sup,支援
lego,樂高積木
banker,銀行家
prevented,阻止
digits,數位
decks,甲板
monkeys,猴子
easiest,簡單
communicating,溝通
lv,低壓
sgh,嘟嘟
vibration,振動
ki,基
microbiology,微生物學
stepped,加強
denotes,表示
err,犯錯
craigslist,克雷格斯清單
protector,保護
issuing,發行
understands,理解
react,反應
een,伊恩
rdf,RDF
acceleration,加速度
transitional,過渡
aux,輔助
insane,瘋
blunt,鈍
buddha,佛
sketch,素描
heaters,加熱器
visualization,可視化
nightly,夜間
hoffman,霍夫曼
rises,上升
voyage,航行
colonel,上校
bj,北京
pitt,彼特
balances,平衡
shane,謝恩
vent,發洩
mozart,莫札特
accents,口音
firearms,火器
deduction,演繹
hamas,哈馬斯
pursuing,追求
sourcing,採購
fiesta,祭典
dancer,舞蹈家
coats,大衣
dots,點
pol,油料
spermshack,精子小屋
doo,鬥
wd,白矮星
brokerage,傭金
mugs,杯子
washed,洗
durability,耐久性
vase,花瓶
capsules,膠囊
resonance,共鳴
overtime,加班
mosaic,馬賽克
fairs,展覽會
aston,阿斯頓
hyde,海德
firmly,牢牢
forcing,迫使
newswire,新聞專線
rhodes,羅茲
hf,高頻
flute,長笛
staind,染色
filings,銼屑
exceeded,超過
presley,貓王
paradigm,範例
deserves,值得
outfit,衣服
cease,停止
substitution,替代
aboard,船上
labeling,標籤
whois,誰是
meadows,草地
irving,歐文
msc,理學碩士
burma,緬甸
linguistics,語言學
hindi,印地語
gta,多倫多
joints,關節
bounds,邊界
liu,劉
poles,兩極
perfection,完美
overwhelming,壓倒性的
harsh,苛刻
sizing,上漿
snmp,SNMP
lyon,里昂
standardized,標準化
godsmack,神啪啪
boeing,波音
devils,魔鬼
descriptive,描述
europa,歐羅巴
inst,研究所
wondered,想
santiago,聖地牙哥
kosovo,科索沃
nutrients,營養素
vera,真性
negotiating,談判
feasibility,可行性
advising,建議
altogether,完全
dignity,尊嚴
nickelback,鎳背
pier,碼頭
accumulation,積累
premiums,保費
barbuda,巴布達
lj,利傑
napa,納帕
cheshire,柴郡
sliding,滑動
abt,阿布特
homo,同性戀者
sioux,蘇族
boyd,博伊德
cote,科特
jenna,珍娜
nazi,納粹
syllabus,教學大綱
ideally,理想
valencia,瓦倫西亞
ke,科
animations,動畫
lutheran,路德
arrays,陣列
splash,濺
perkins,珀金斯
chairperson,主席
equip,裝備
probation,緩刑
ast,阿斯特
superman,超人
rgb,RGB
sgt,軍士
hedge,對沖
saga,傳奇
anguilla,安圭拉
gran,奶奶
commissioned,委託
violet,紫
fender,擋泥板
fellows,研究員
leverage,槓桿作用
rodriguez,羅德裡格斯
dancers,舞者
activism,行動主義
reged,雷格德
fargo,法戈
handset,手機
prerequisites,先決條件
pearls,珍珠
envelopes,信封
mutation,突變
illustrates,說明
vulnerabilities,漏洞
elf,精靈
pga,美高
hitler,希特勒
inheritance,遺產
curry,咖哩
preparations,準備
maxwell,麥克斯韋
apc,APC
compulsory,必修
rue,街
palestinians,巴勒斯坦
satisfying,滿足
succeeded,成功
maintainer,保持
apples,蘋果
alle,阿勒
favorable,有利
worms,蠕蟲
ldap,低密度脂蛋白
oblique,斜
dewey,杜威
radisson,麗笙
activist,活動家
enjoys,喜歡
advent,出現
accumulated,積累
pouch,袋
arsenal,兵工廠
mayo,梅奧
cha,茶
dub,配音
pyramid,金字塔
benq,本基
singers,歌手
averages,平均
schneider,施耐德
proposes,提出
hacking,駭客
stripe,條紋
tai,台
mansion,大廈
screws,螺絲
ces,消費電子展
bv,BV
peaks,峰
exploitation,開發
surrender,投降
tasmania,塔斯馬尼亞
hooks,鉤
surviving,生存
como,科莫
knoxville,諾克斯維爾
churchill,邱吉爾
affirmative,肯定
classrooms,教室
fortunately,幸運
bombs,炸彈
berkshire,伯克希爾
calculating,計算
spoon,勺子
petitioner,請願人
niche,利基
deadlines,最後期限
pak,北
mentoring,指導
keynote,基調
credentials,憑據
bookshop,書店
tk,傳統知識
proportional,比例的
vis,可見
municipalities,市
residency,居住
planted,種植
cigar,雪茄
mos,莫斯
didnt,不
limousine,豪華轎車
erie,伊利
deprecated,荒廢的
nonetheless,儘管如此
lisp,口齒不清
chin,下巴
spotted,發現
severely,嚴重
forex,外匯
removes,刪除
grandfather,爺爺
booked,預訂
liberation,解放
squash,南瓜
diagnostics,診斷
interrupt,中斷
expectation,期望
ajax,阿賈克斯
locker,櫃子
vm,虛擬機
ew,電子戰
tumors,腫瘤
titan,巨人
indirectly,間接
luxurious,豪華
jenkins,詹金斯
gf,格芯
conductor,導體
anita,安妮塔
nile,尼羅河
coconut,椰子
hifi,高保真音響
curse,詛咒
dreamcast,夢幻演員表
wont,習慣
illustrator,插圖畫家
lumber,木材
whoever,誰
hubs,樞紐
pillows,枕頭
blessing,祝福
abnormal,異常
portals,門戶
presidency,總統
delicate,嫩
rationale,理由
citrus,柑橘
mankind,人類
cameltoe,卡梅爾托
lifted,解除
shout,喊
paramount,最高的
asleep,睡著的
bissau,比索
subway,地鐵
nudes,裸體
hpa,馬甲酸
convince,說服
pasadena,帕薩迪納
kyocera,京瓷
uncertain,不確定性
potassium,鉀
prompted,促使
straw,秸稈
fgets,菲吉茨
therapies,療法
sightseeing,觀光
observatory,天文臺
waited,等
upright,直立
orchid,蘭花
bakery,麵包店
soda,蘇打
variability,變異性
comoros,科摩羅
histories,歷史
breakfasts,早餐
renault,雷諾
preventive,預防
gop,共和黨
reuse,再使用
alcoholic,酒鬼
emergencies,緊急情況
ernest,歐內斯特
inspectors,督察
peach,桃
widget,控件
selector,選擇器
stefan,斯特凡
lieutenant,中尉
shocked,驚呆
suede,麂皮
calculus,微積分
loses,失去
atkins,阿特金斯
diaper,尿布
breathe,呼吸
negotiated,談判
economically,經濟
smiling,微笑
duplex,雙工
intact,完整
delegate,委託
shifting,移位
ounces,盎司
jh,JH
analyzer,分析器
runners,選手
subtotal,小計
moines,梅因
coefficients,係數
lightly,翩翩
ngo,非政府組織
ivy,常春藤
hotwire,熱線
dunn,鄧恩
stove,爐
pvt,私人建築
noting,注意到
herman,赫爾曼
congestion,擁塞
uncut,完整無缺
mvp,最有價值球員
samurai,武士
atp,國家統計局
guadeloupe,瓜德羅普
avail,利用
ark,方舟
refuge,避難所
charset,字元集
nixon,尼克森
accidental,偶然
underway,進行
talents,人才
nutrient,養分
carved,雕刻
walton,沃爾頓
bluff,虛張聲勢
obstacles,障礙
zhang,張
excerpts,摘錄
freak,怪物
laughed,笑
brady,佈雷迪
newborn,新生兒
preferably,寧願
sed,塞德
gorillaz,大猩猩
cbc,加拿大廣播公司
jasper,碧玉
emerson,愛默生
sadly,可悲的是
govt,政府
formatted,格式化
clin,克林
prestigious,享有聲望的
trousers,褲子
explored,探索
privileged,特權
deploy,部署
uu,UU
spill,洩漏
regulate,調節
replaces,取代
mythology,神話
stein,斯坦
extracts,提取物
goodness,善良
wwe,WWE世界
autism,孤獨症
martinez,馬丁內斯
decreases,減少
professions,專業
bombing,轟炸
regina,里賈納
tomb,墓
mysteries,奧秘
shortage,短缺
drift,漂移
gameplay,遊戲玩法
inhibitors,抑製劑
fuller,富勒
taxpayers,納稅人
hatch,孵化
orchard,果園
keeper,管理人
cor,科爾
metrics,指標
inability,無法
bldg,建築業
spells,法術
mediated,介導
reinforced,增強
buddhist,佛教徒
environ,環境
inevitable,必然
etiquette,禮儀
johannesburg,約翰尼斯堡
vaginal,陰道的
goo,咕
nic,網卡
coloured,彩色
prom,舞會
specifying,指定
births,出生
crisp,脆
isps,互聯網服務提供者
cubs,幼崽
coronary,冠狀的
rookie,新秀
winxp,贏星
kr,氪
theatrical,戲劇
interdisciplinary,跨學科的
scans,掃描
onset,發病
wheeler,惠勒
kerala,喀拉拉邦
jacuzzi,按摩浴缸
interpreter,譯員
pulp,紙漿
ritual,儀式
enzymes,酶
assay,測定
slam,滿貫
initiation,開始
reconciliation,和解
specimens,標本
jt,JT
recognizing,識別
analytics,分析學
respects,方面
tents,帳篷
crib,嬰兒床
parser,解析器
pots,盆
deposited,沉積
plaque,匾
miguel,米格爾
razr,剃刀
leigh,雷
accounted,佔
beavers,海狸
lowe,羅威
lesbianas,女同性戀
granting,授予
autonomous,自治
motoring,駕駛
styling,造型
peugeot,標緻
noun,名詞
snack,小吃
pulls,拉
assemblies,元件
bollywood,寶萊塢
randomly,隨機
philippine,菲律賓
semiconductors,半導體
drying,乾燥
appropriation,撥款
scenery,風景
horoscopes,星座
theological,神學
defending,捍衛
coca,古柯
xmas,聖誕
mentally,精神上
collateral,旁系的
quietly,悄悄地
cpa,註冊會計師
weezer,韋澤
learner,學習者
silicone,有機矽
condensed,濃縮
acs,ACS
scoreboard,記分牌
crab,蟹
brightness,亮度
bore,鑽
dn,分辨
proliferation,增殖
swallow,吞
tara,塔拉
transplant,移植
customised,定製
lighthouse,燈塔
imdb,IMDB
ars,阿根廷比索
hike,遠足
jen,珍
hw,硬體
proves,證明
maurice,莫裡斯
marines,海軍陸戰隊
technically,技術
welcomes,歡迎
maxim,格言
squid,魷魚
usenet,新聞組
consumed,消耗
pharmacist,藥劑師
brooke,布魯克
depreciation,折舊
clic,克里克
trilogy,三部曲
cue,。.cue
delighted,高興
enjoyment,享受
cygwin,天鵝座
gprs,全球通用儀器
recruiters,招聘
inhabitants,居民
simultaneous,同時
straightforward,簡單
screaming,尖叫
cows,牛
correspond,通信
morton,莫頓
deliveries,交付
peel,皮
suzanne,蘇珊
jupiter,木星
pornography,色情
han,漢
robotics,機器人
monopoly,壟斷
png,。.png
slate,石板
debris,碎片
austrian,奧地利人
confined,局限
typepad,打字板
marley,馬利
intentions,意圖
randall,蘭德爾
chopped,切碎
fitzgerald,菲茨傑拉德
contexts,上下文
svn,SVN
evolving,進化
skies,天空
widow,寡婦
footnote,腳注
corrupt,腐敗
burners,燃燒
init,初始化
alison,艾莉森
violated,違反
reminds,提醒
canoe,獨木舟
approximation,近似值
kicks,踢
organism,生物
pagan,異教徒
vibrant,充滿活力
disappeared,消失
sac,囊
sleeves,袖子
barrett,巴雷特
sweater,毛衣
troubled,困擾
benson,班森
peg,楔子
sovereign,君
symptom,癥狀
hurricanes,颶風
fave,最愛
wizards,嚮導
oslo,奧斯陸
correspondent,記者
bake,烤
scaling,縮放
audits,審計
grains,穀物
moody,穆迪
pesticides,農藥
orbitz,軌道
heal,治癒
foreclosures,止贖
vicinity,附近
laughter,笑聲
explosive,爆炸物
ignorance,無知
juicy,多汁的
viet,越
propagation,增殖
purification,純化
southeastern,東南部
inventor,發明家
thyroid,甲狀腺
drought,乾旱
residues,殘留
ashlee,艾希莉
fashioned,老式
launching,發射
mum,媽媽
staples,主食
jumped,跳
mayer,邁爾
passionate,熱情
prosperity,繁榮
tote,手提包
invasive,創
horoscope,占星
sour,酸
alfa,阿爾法
hardback,精裝
narnia,納尼亞
inconsistent,不一致的
rename,重新命名
backward,向後
geoff,傑夫
plantation,種植園
seemingly,看似
rainfall,雨量
tuned,調諧
helsinki,赫爾辛基
vuitton,威登
nextag,內克斯塔格
pedal,踏板
twp,台普
atx,ATX
storing,存儲
asa,阿薩
guiding,指導
questioned,質疑
breakthrough,突破
administer,管理
ietf,國際特遣部隊
copier,複印機
gentlemen,先生
charcoal,木炭
markup,標記
uncategorized,未分類
beneficiaries,受益者
xm,XM
scrap,廢料
williamson,威廉姆森
disposable,一次性
overlap,重疊
vapor,蒸汽
handsome,英俊
aloud,大聲
defaults,違約
beware,小心
bilateral,雙邊
combustion,燃燒
bella,貝拉
literal,字面
blondes,金髮
sock,襪子
terra,泰拉
glorious,光榮
geforce,捷力
judgement,判斷
foreclosure,止贖
shelby,謝爾比
strokes,中風
cascade,級聯
grounded,接地
ib,IB
goose,鵝
clarification,澄清
gifted,天才
hen,母雞
endorse,支援
nucleus,核
espresso,濃咖啡
adopting,採用
fn,FN
detached,超然
warsaw,華沙
esteem,自尊
homeowner,房主
dolphins,海豚
tees,三通
bail,保釋金
cruiser,巡洋艦
landed,降落
ancestry,祖先
hendrix,亨德里克斯
scouts,童子軍
cumberland,坎伯蘭
mib,馬銀
chic,優美
phosphate,磷酸鹽
playa,花花公子
neal,尼爾
meridian,經線
mist,霧
sentinel,哨兵
tec,技術
hydro,水電
noisy,吵
gh,呵呵
socio,社會
abide,遵守
birthdays,生日
radioactive,放射性
csi,中證
economist,經濟學家
desserts,甜點
vest,背心
grooming,美容
verb,動詞
doi,土井
nonlinear,非線性
objection,異議
pcmcia,聚氯乙烯
spokane,斯波坎
winnt,溫特
marriages,婚姻
glu,格魯
preserving,保存
validate,驗證
stakes,風險
doubles,雙打
humiliation,屈辱
appoint,委任
parse,解析
attendees,出席者
nederlands,荷蘭
bliss,幸福
regret,後悔
rotating,旋轉
brigade,旅
reflective,反射
abbreviations,縮寫
renovation,翻新
implementations,實現
tens,十
outerwear,外衣
litter,垃圾
grandmother,奶奶
puma,美洲獅
jelly,果凍
movable,活
executing,執行
bst,BST
flooding,泛濫
dsp,DSP
rugged,崎嶇
filmography,電影作品
greenwich,格林威治
clare,克雷爾
toc,目錄
recognise,承認
establishes,建立
ax,斧頭
flyers,傳單
midway,中途
radiology,放射學
mania,狂熱
accelerator,加速器
bolts,螺栓
rant,咆哮
diplomatic,外交
edwin,埃德溫
petrol,汽油
downstream,下游
greenwood,綠林
fringe,邊緣
perceptions,看法
humble,卑微
masterbating,掌握
trapped,被困
ignition,點火
hostile,敵對的
tacoma,塔科馬
locals,當地人
webcasts,網路廣播
panthers,黑豹
aphrodite,阿佛洛狄忒
whites,白人
gill,鰓
hassle,麻煩
mms,彩信
internally,內部
datasheet,數據表
typed,類型
tungsten,鎢
influenza,流感
ego,自我
desc,描述
laurent,勞倫
nay,否
tattoos,紋身
linguistic,語言
servants,僕人
gaza,加沙
sweatshirt,運動衫
shutdown,關閉
sang,唱
citing,引用
meanings,意義
viewpoint,觀點
planetary,行星的
regents,攝政王
xenical,異能
manuel,曼努埃爾
rude,粗魯
peptide,肽
computerworld,計算機世界
steele,斯蒂爾
taxonomy,分類學
geometric,幾何
subsidies,補貼
conception,概念
nordic,北歐
albanian,阿爾巴尼亞文
darling,親愛的
curl,捲曲
unemployed,失業的
overflow,溢出
docket,案卷
elsevier,愛思唯爾
dll,。.dll
hastings,黑斯廷斯
privat,私有化
amusement,娛樂
willingness,意願
simplify,簡化
implicit,含蓄
intern,實習生
deli,熟食店
patriotic,愛國的
nsf,美國國家科學基金
schwartz,施瓦茨
exeter,埃克塞特
middlesex,米德爾塞克斯
heavenly,天的
thirds,三分之一
satan,撒旦
ornaments,飾品
vale,山谷
terrific,了不起
adolescents,青少年
clutter,雜亂
vine,藤
djs,DJ
reviewers,評論家
megan,梅根
sparks,火花
cheer,歡呼
simpler,簡單
bangalore,班加羅爾
definite,明確
allergies,過敏症
oppose,反對
regiment,團
belgian,比利時人
congregation,會眾
whereby,由此
sata,薩塔
captures,捕獲
deceased,死者
predator,掠奪者
xxxx,三xxx
marty,馬蒂
misleading,易誤解的
coventry,考文垂
everett,埃弗雷特
mammals,哺乳動物
clamp,鉗
educator,教育家
capitalism,資本主義
grape,葡萄
args,參數
visually,視覺
russ,拉斯
peppers,辣椒
cur,。.cur
aligned,一致
tripod,三腳架
limo,豪華轎車
immigrant,移民
rust,鏽
lon,離子
cloning,克隆
alright,好
lively,活潑
inequality,不等式
madden,馬登
demonstrations,示威
deeds,事蹟
premature,過早的
hancock,漢考克
obsolete,過時
smugmug,自鳴得意
laguna,拉古納
pricegrabber,價格掠奪者
falkland,福克蘭
traps,陷阱
pesticide,農藥
iss,國際空間站
immunity,免疫
wardrobe,衣櫃
nash,納什
avid,狂熱
sweep,掃
successes,成功
racer,賽車
exploited,利用
inflammatory,炎症
transformers,變形金剛
ducks,鴨子
shooter,射手
vin,文
lam,議員
encrypted,加密
wholesalers,批發商
fabrication,製造
bets,賭注
guilt,內疚
switchboard,交換機
outpatient,門診病人
dcr,。.dcr
interfere,干涉
bladder,膀胱
coldfusion,冷聚變
shuffle,洗牌
doyle,道爾
paints,塗料
smiled,微笑
tastes,口味
fluorescent,螢光
carr,卡爾
fade,褪色
gradient,梯度
cheating,作弊
lunar,月球
cookware,炊具
storms,風暴
environmentally,環境
subjected,受制
neighbourhood,附近
nonsense,廢話
param,參數
kvm,千維
differentiation,分化
regeneration,再生
invented,發明
posed,提出
inserts,插入
scrutiny,審議
lavigne,艾薇兒
jurisdictions,司法管轄區
vince,文斯
shields,盾牌
ncbi,國家商業協會
programmable,可程式設計序
elaine,伊蓮
arises,出現
shining,閃亮
precautions,預防措施
diazepam,安定
tasting,品嘗
expose,暴露
vr,虛擬實境
mob,暴徒
chemotherapy,化學療法
borrowing,借貸
gwen,格溫
monk,和尚
dysfunction,功能障礙
rodeo,羅德奧
moose,駝鹿
timetable,時程表
voyager,航海家
clerical,文書
forks,叉
lisbon,裡斯本
hobart,霍巴特
manning,曼寧
jovi,喬維
boxer,拳擊手
bibtex,比特克斯
weigh,權衡
sampler,採樣
branded,品牌
livejournal,即時日記
imf,基金組織
buenos,布宜諾斯艾利斯
inspire,激發
meantime,同時
sts,STS
corrosion,腐蝕
conscience,良心
udp,烏德普
cmp,基軍
positioned,定位
checker,檢查
enthusiast,愛好者
workstations,工作站
pumping,泵
paulo,保羅
positively,積極
shaping,塑造
mystic,神秘
revival,復興
patented,專利
rectangular,矩形的
dorset,賽特
darren,達倫
crush,粉碎
fischer,費舍爾
pooh,維尼
solicitation,徵求
ich,非物質文化遺產
torn,撕裂
cathy,凱茜
afghan,阿富汗人
tarot,塔羅
invites,邀請
lever,槓桿
regency,攝政
cocoa,可哥
bark,樹皮
milfseeker,摩洛伊斯蘭解放陣線
reversed,反
goa,原羚
disappear,消失
civilians,平民
redundant,冗
wasted,浪費
carts,車
purdue,普渡
synchronization,同步
tasty,美味
cushion,墊
mccarthy,麥卡錫
informatics,資訊學
heck,哎呀
figurines,俑
lynx,猞猁
oakley,奧克利
sbc,新世紀
rants,咆哮
brenda,布倫達
midland,米德蘭
gag,插科打諢
didrex,迪德雷克斯
specimen,標本
